,scores
532,44.0
533,17.0
534,20.0
535,11.0
536,20.0
537,22.0
538,14.0
539,12.0
540,15.0
541,14.0
542,39.0
543,54.0
544,32.0
545,16.0
546,11.0
547,12.0
548,40.0
549,10.0
550,13.0
551,18.0
552,14.0
553,14.0
554,50.0
555,65.0
556,64.0
557,12.0
558,8.0
559,16.0
560,18.0
561,40.0
562,48.0
563,29.0
564,17.0
565,13.0
566,29.0
567,14.0
568,39.0
569,23.0
570,32.0
571,21.0
572,25.0
573,18.0
574,13.0
575,38.0
576,39.0
577,82.0
578,44.0
579,15.0
580,16.0
581,26.0
582,19.0
583,14.0
584,53.0
585,22.0
586,27.0
587,10.0
588,19.0
589,21.0
590,13.0
591,70.0
592,24.0
593,15.0
594,21.0
595,19.0
596,30.0
597,25.0
598,29.0
599,26.0
600,15.0
601,40.0
602,12.0
603,16.0
604,29.0
605,30.0
606,13.0
607,18.0
608,16.0
609,49.0
610,11.0
611,25.0
612,20.0
613,34.0
614,12.0
615,33.0
616,18.0
617,46.0
618,19.0
619,27.0
620,19.0
621,31.0
622,46.0
623,42.0
624,10.0
625,17.0
626,13.0
627,24.0
628,42.0
629,14.0
630,28.0
631,12.0
632,29.0
633,13.0
634,37.0
635,14.0
636,81.0
637,16.0
638,39.0
639,21.0
640,37.0
641,13.0
642,38.0
643,40.0
644,9.0
645,50.0
646,37.0
647,23.0
648,35.0
649,27.0
650,9.0
651,58.0
652,19.0
653,13.0
654,39.0
655,14.0
656,9.0
657,78.0
658,11.0
659,22.0
660,24.0
661,10.0
662,14.0
663,21.0
664,22.0
665,16.0
666,35.0
667,28.0
668,17.0
669,37.0
670,21.0
671,54.0
672,23.0
673,23.0
674,11.0
675,25.0
676,15.0
677,10.0
678,19.0
679,15.0
680,50.0
681,38.0
682,28.0
683,12.0
684,20.0
685,36.0
686,30.0
687,17.0
688,24.0
689,31.0
690,96.0
691,15.0
692,24.0
693,18.0
694,27.0
695,38.0
696,16.0
697,20.0
698,87.0
699,12.0
700,23.0
701,21.0
702,26.0
703,28.0
704,31.0
705,17.0
706,34.0
707,13.0
708,30.0
709,16.0
710,28.0
711,16.0
712,19.0
713,72.0
714,15.0
715,43.0
716,19.0
717,9.0
718,14.0
719,28.0
720,14.0
721,22.0
722,16.0
723,34.0
724,11.0
725,33.0
726,22.0
727,117.0
728,15.0
729,13.0
730,17.0
731,9.0
732,33.0
733,35.0
734,15.0
735,21.0
736,21.0
737,38.0
738,21.0
739,30.0
740,13.0
741,44.0
742,20.0
743,58.0
744,21.0
745,42.0
746,29.0
747,33.0
748,18.0
749,25.0
750,9.0
751,25.0
752,41.0
753,26.0
754,11.0
755,28.0
756,39.0
757,60.0
758,24.0
759,87.0
