,scores
456,-129.0
457,-91.0
458,-202.0
459,-116.0
460,-121.0
461,-93.0
462,-106.0
463,-110.0
464,-220.0
465,-97.0
466,-131.0
467,-107.0
468,-166.0
469,-105.0
470,-109.0
471,-105.0
472,-124.0
473,-117.0
474,-106.0
475,-91.0
476,-126.0
477,-119.0
478,-174.0
479,-115.0
480,-121.0
481,-90.0
482,-115.0
483,-114.0
484,-104.0
485,-95.0
486,-86.0
487,-95.0
488,-128.0
489,-110.0
490,-89.0
491,-98.0
492,-119.0
493,-96.0
494,-163.0
495,-117.0
496,-95.0
497,-117.0
498,-185.0
499,-113.0
500,-108.0
501,-224.0
502,-87.0
503,-110.0
504,-108.0
505,-119.0
506,-181.0
507,-174.0
508,-118.0
509,-165.0
510,-115.0
511,-118.0
512,-102.0
513,-91.0
514,-197.0
515,-99.0
516,-89.0
517,-109.0
518,-89.0
519,-99.0
520,-96.0
521,-108.0
522,-183.0
523,-105.0
524,-120.0
525,-98.0
526,-106.0
527,-84.0
528,-83.0
529,-80.0
530,-103.0
531,-76.0
532,-121.0
533,-97.0
534,-103.0
535,-83.0
536,-102.0
537,-91.0
538,-90.0
539,-113.0
540,-96.0
541,-87.0
542,-99.0
543,-107.0
544,-98.0
545,-79.0
546,-119.0
547,-103.0
548,-85.0
549,-93.0
550,-95.0
551,-106.0
552,-91.0
553,-88.0
554,-130.0
555,-97.0
556,-93.0
557,-90.0
558,-105.0
559,-131.0
560,-88.0
561,-249.0
562,-97.0
563,-100.0
564,-78.0
565,-102.0
566,-87.0
567,-95.0
568,-106.0
569,-90.0
570,-106.0
571,-101.0
572,-153.0
573,-102.0
574,-93.0
575,-190.0
576,-115.0
577,-99.0
578,-68.0
579,-115.0
580,-96.0
581,-111.0
582,-82.0
583,-208.0
584,-127.0
585,-103.0
586,-94.0
587,-239.0
588,-100.0
589,-142.0
590,-94.0
591,-93.0
592,-75.0
593,-97.0
594,-106.0
595,-82.0
596,-82.0
597,-88.0
598,-87.0
599,-102.0
600,-142.0
601,-103.0
602,-94.0
603,-86.0
604,-113.0
605,-102.0
606,-103.0
607,-102.0
608,-82.0
609,-87.0
610,-87.0
611,-82.0
612,-127.0
613,-93.0
614,-107.0
615,-118.0
616,-90.0
617,-88.0
618,-95.0
619,-76.0
620,-83.0
621,-96.0
622,-108.0
623,-121.0
624,-97.0
625,-95.0
626,-98.0
627,-86.0
628,-111.0
629,-96.0
630,-119.0
631,-99.0
632,-82.0
633,-83.0
634,-77.0
635,-105.0
636,-90.0
637,-99.0
638,-81.0
639,-79.0
640,-84.0
641,-108.0
642,-91.0
643,-69.0
644,-101.0
645,-99.0
646,-80.0
647,-85.0
648,-80.0
649,-99.0
650,-82.0
651,-107.0
652,-79.0
653,-104.0
654,-126.0
655,-82.0
656,-91.0
657,-93.0
658,-100.0
659,-108.0
660,-237.0
661,-94.0
662,-68.0
663,-97.0
664,-110.0
665,-101.0
666,-107.0
667,-95.0
668,-103.0
669,-96.0
670,-109.0
671,-118.0
672,-79.0
673,-80.0
674,-103.0
675,-98.0
676,-97.0
677,-151.0
678,-109.0
679,-111.0
680,-92.0
681,-108.0
682,-151.0
683,-82.0
684,-93.0
685,-112.0
686,-101.0
687,-97.0
688,-108.0
689,-113.0
690,-115.0
691,-94.0
692,-100.0
693,-112.0
694,-123.0
695,-127.0
696,-68.0
697,-92.0
698,-241.0
699,-112.0
700,-140.0
701,-111.0
702,-89.0
703,-252.0
704,-95.0
705,-88.0
706,-113.0
707,-129.0
708,-92.0
709,-121.0
710,-160.0
711,-86.0
712,-91.0
713,-93.0
714,-115.0
715,-94.0
716,-124.0
717,-107.0
718,-105.0
719,-127.0
720,-113.0
721,-108.0
722,-107.0
723,-115.0
724,-83.0
725,-96.0
726,-126.0
727,-95.0
728,-87.0
729,-219.0
730,-105.0
731,-87.0
732,-70.0
733,-107.0
734,-115.0
735,-132.0
736,-122.0
737,-106.0
738,-103.0
739,-102.0
740,-102.0
741,-93.0
742,-105.0
743,-93.0
744,-88.0
745,-150.0
746,-92.0
747,-94.0
748,-94.0
749,-110.0
750,-90.0
751,-127.0
752,-109.0
753,-155.0
754,-93.0
755,-87.0
756,-91.0
757,-108.0
758,-90.0
759,-92.0
760,-105.0
761,-91.0
762,-90.0
763,-94.0
764,-95.0
765,-91.0
766,-155.0
767,-82.0
768,-194.0
769,-119.0
770,-160.0
771,-109.0
772,-102.0
773,-140.0
774,-113.0
775,-194.0
776,-93.0
777,-88.0
778,-83.0
779,-85.0
780,-109.0
781,-129.0
782,-101.0
783,-95.0
784,-87.0
785,-100.0
786,-115.0
787,-94.0
788,-87.0
789,-92.0
790,-105.0
791,-94.0
792,-81.0
793,-101.0
794,-111.0
795,-111.0
796,-97.0
797,-93.0
798,-92.0
799,-108.0
800,-81.0
801,-84.0
802,-103.0
803,-86.0
804,-96.0
805,-78.0
806,-85.0
807,-93.0
808,-76.0
809,-82.0
810,-96.0
811,-79.0
812,-82.0
813,-90.0
814,-67.0
815,-89.0
816,-77.0
817,-89.0
818,-84.0
819,-84.0
820,-107.0
821,-96.0
822,-88.0
823,-91.0
824,-89.0
825,-98.0
826,-94.0
827,-95.0
828,-95.0
829,-87.0
830,-98.0
831,-103.0
832,-95.0
833,-141.0
834,-79.0
835,-98.0
836,-95.0
837,-94.0
838,-98.0
839,-108.0
840,-139.0
841,-112.0
842,-91.0
843,-116.0
844,-125.0
845,-104.0
846,-100.0
847,-98.0
848,-103.0
849,-83.0
850,-109.0
851,-89.0
852,-77.0
853,-95.0
854,-93.0
855,-85.0
856,-120.0
857,-91.0
858,-91.0
859,-140.0
860,-100.0
861,-93.0
862,-92.0
863,-78.0
864,-91.0
865,-136.0
866,-90.0
867,-104.0
868,-110.0
869,-83.0
870,-90.0
871,-93.0
872,-96.0
873,-207.0
874,-104.0
875,-93.0
876,-108.0
877,-93.0
878,-88.0
879,-115.0
880,-82.0
881,-92.0
882,-106.0
883,-100.0
884,-79.0
885,-70.0
886,-80.0
887,-111.0
888,-90.0
889,-121.0
890,-92.0
891,-83.0
892,-88.0
893,-108.0
894,-81.0
895,-113.0
896,-96.0
897,-81.0
898,-113.0
899,-68.0
900,-77.0
901,-102.0
902,-81.0
903,-113.0
904,-113.0
905,-82.0
906,-118.0
907,-95.0
908,-77.0
909,-96.0
910,-94.0
911,-89.0
912,-91.0
913,-134.0
914,-96.0
915,-95.0
916,-90.0
917,-81.0
918,-101.0
919,-75.0
920,-103.0
921,-96.0
922,-104.0
923,-92.0
924,-86.0
925,-77.0
926,-81.0
927,-88.0
928,-101.0
929,-74.0
930,-101.0
931,-105.0
932,-82.0
933,-96.0
934,-115.0
935,-100.0
936,-133.0
937,-84.0
938,-86.0
939,-77.0
940,-92.0
941,-97.0
942,-118.0
943,-82.0
944,-114.0
945,-87.0
946,-85.0
947,-82.0
948,-112.0
949,-109.0
950,-84.0
951,-84.0
952,-82.0
953,-86.0
954,-104.0
955,-64.0
956,-81.0
957,-116.0
958,-81.0
959,-94.0
960,-106.0
961,-117.0
962,-77.0
963,-96.0
964,-138.0
965,-199.0
966,-101.0
967,-76.0
968,-87.0
969,-102.0
970,-178.0
971,-93.0
972,-92.0
973,-101.0
974,-85.0
975,-82.0
976,-94.0
977,-82.0
978,-90.0
979,-79.0
980,-80.0
981,-73.0
982,-82.0
983,-88.0
984,-81.0
985,-92.0
986,-80.0
987,-92.0
988,-77.0
989,-82.0
990,-87.0
991,-112.0
992,-114.0
993,-88.0
994,-93.0
995,-87.0
996,-82.0
997,-84.0
998,-79.0
999,-95.0
1000,-87.0
1001,-77.0
1002,-82.0
1003,-105.0
1004,-103.0
1005,-88.0
1006,-81.0
1007,-109.0
1008,-81.0
1009,-101.0
1010,-92.0
1011,-85.0
1012,-90.0
1013,-85.0
1014,-101.0
1015,-119.0
1016,-88.0
1017,-92.0
1018,-82.0
1019,-193.0
1020,-77.0
1021,-114.0
1022,-90.0
1023,-75.0
1024,-111.0
1025,-87.0
1026,-98.0
1027,-86.0
1028,-94.0
1029,-70.0
1030,-83.0
1031,-88.0
1032,-102.0
1033,-62.0
1034,-83.0
1035,-95.0
1036,-276.0
1037,-111.0
1038,-69.0
1039,-92.0
1040,-81.0
1041,-91.0
1042,-75.0
1043,-70.0
1044,-121.0
1045,-99.0
1046,-95.0
1047,-75.0
1048,-79.0
1049,-97.0
1050,-108.0
1051,-92.0
1052,-95.0
1053,-79.0
1054,-101.0
1055,-63.0
1056,-89.0
1057,-83.0
1058,-87.0
1059,-87.0
1060,-99.0
1061,-88.0
1062,-85.0
1063,-107.0
1064,-106.0
1065,-94.0
1066,-115.0
1067,-89.0
1068,-76.0
1069,-261.0
1070,-70.0
1071,-255.0
1072,-74.0
1073,-96.0
1074,-75.0
1075,-97.0
1076,-79.0
1077,-85.0
1078,-81.0
1079,-105.0
1080,-93.0
1081,-98.0
1082,-81.0
1083,-100.0
1084,-76.0
1085,-109.0
1086,-76.0
1087,-105.0
1088,-86.0
1089,-121.0
1090,-83.0
1091,-97.0
1092,-95.0
1093,-82.0
1094,-81.0
1095,-94.0
1096,-150.0
1097,-91.0
1098,-69.0
1099,-101.0
1100,-74.0
1101,-80.0
1102,-85.0
1103,-84.0
1104,-94.0
1105,-100.0
1106,-100.0
1107,-63.0
1108,-83.0
1109,-91.0
1110,-83.0
1111,-88.0
1112,-64.0
1113,-94.0
1114,-80.0
1115,-105.0
1116,-92.0
1117,-80.0
1118,-84.0
1119,-207.0
1120,-108.0
1121,-75.0
1122,-94.0
1123,-103.0
1124,-108.0
1125,-110.0
1126,-90.0
1127,-94.0
1128,-84.0
1129,-108.0
1130,-98.0
1131,-75.0
1132,-80.0
1133,-103.0
1134,-79.0
1135,-92.0
1136,-72.0
1137,-98.0
1138,-84.0
1139,-84.0
1140,-86.0
1141,-79.0
1142,-62.0
1143,-83.0
1144,-96.0
1145,-84.0
1146,-79.0
1147,-116.0
1148,-64.0
1149,-65.0
1150,-84.0
1151,-72.0
1152,-62.0
1153,-64.0
